"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"Year169",2012,"Pregabalin",0.0775574476064478,0.0344574763223737,0.174567563304721,"South-eastern Asia"
"Year1610",2012,"Pregabalin",0.107501634964878,0.0461530967930445,0.250397098421001,"Southern Asia"
"Year1611",2012,"Pregabalin",0.388510753037612,0.279163262647064,0.540689357885465,"Western Asia"
"Year1612",2012,"Pregabalin",0.227551073669307,0.13098336098726,0.395313501942363,"Northern Africa"
"Year1613",2012,"Pregabalin",0.184676282956343,0.184484644778816,0.184868120202964,"Southern Africa"
"Year17",2013,"Pregabalin",2.88494939454245,1.74321710615349,4.77446726497303,"Northern America"
"Year171",2013,"Pregabalin",0.33342788850359,0.192706058361262,0.576910543328879,"Central and South America and the Caribbean"
"Year172",2013,"Pregabalin",1.51234552708141,1.1803296556893,1.93775440806617,"Northern Europe"
"Year173",2013,"Pregabalin",0.227476355706429,0.132270249382482,0.391210363986287,"Eastern Europe"
"Year174",2013,"Pregabalin",0.741192251278474,0.496289053163846,1.1069475537553,"Southern Europe"
"Year175",2013,"Pregabalin",2.68284734260904,2.27876998561193,3.15857673621743,"Western Europe"
"Year176",2013,"Pregabalin",0.485768036141097,0.0126667362090469,18.629154427945,"Australia and New Zealand"
"Year177",2013,"Pregabalin",0.153336734297858,0.0413209707580591,0.569012626126314,"Eastern Asia"
"Year178",2013,"Pregabalin",0.0285705115372106,0.0284379712260978,0.0287036695764282,"Central Asia"
"Year179",2013,"Pregabalin",0.0847601113544785,0.0407692633153835,0.176217961586584,"South-eastern Asia"
"Year1710",2013,"Pregabalin",0.11495264577719,0.0456192797977584,0.289660661671063,"Southern Asia"
"Year1711",2013,"Pregabalin",0.609608802799311,0.462896374171889,0.802820918861665,"Western Asia"
"Year1712",2013,"Pregabalin",0.268876036914573,0.161056244430839,0.448876251165358,"Northern Africa"
"Year1713",2013,"Pregabalin",0.195694501316733,0.195498801635742,0.19589039689849,"Southern Africa"
"Year18",2014,"Pregabalin",3.14323155485492,1.75394949520791,5.63294703435262,"Northern America"
"Year181",2014,"Pregabalin",0.389109556042824,0.229178981689646,0.660646301364921,"Central and South America and the Caribbean"
